time,win,loss
2022-08-15 13:29:22.905367,1,"0
"
2022-08-15 13:32:52.747961,1,"0
"
2022-08-15 13:34:49.901576,1,"0
"
2022-08-15 13:35:53.907081,1,"0
"
2022-08-15 13:36:57.857629,1,"0
"
2022-08-15 13:38:31.250966,0,"1
"
2022-08-15 13:40:15.381295,1,"0
"
2022-08-15 13:41:19.330644,1,"0
"
2022-08-15 13:42:52.341557,0,"1
"
2022-08-15 13:47:47.211834,1,"0
"
2022-08-15 13:49:54.855728,1,"0
"
2022-08-15 13:52:21.442596,1,"0
"
2022-08-15 13:54:47.549443,0,"1
"
2022-08-15 13:57:24.435716,0,"1
"
2022-08-15 13:58:29.002266,1,"0
"
2022-08-15 14:01:16.708808,1,"0
"
2022-08-15 14:03:56.288381,1,"0
"
2022-08-15 14:05:50.477656,0,"1
"
2022-08-15 14:07:26.395591,1,"0
"
2022-08-15 14:09:20.772287,1,"0
"
2022-08-22 08:48:01.141644,1,"0
"
2022-08-22 08:49:05.012130,1,"0
"
2022-08-22 08:50:08.844068,1,"0
"
2022-08-22 08:51:13.059992,1,"0
"
2022-08-22 08:53:28.184458,1,"0
"
2022-08-22 08:55:00.934689,1,"0
"
2022-08-22 08:57:29.281185,1,"0
"
2022-08-22 08:59:02.240868,1,"0
"
2022-08-22 09:00:35.067424,1,"0
"
2022-08-22 09:01:39.217284,1,"0
"
2022-08-22 09:03:12.096801,0,"1
"
2022-08-22 09:04:58.247861,1,"0
"
2022-08-22 09:06:23.344054,1,"0
"
2022-08-22 09:07:58.940429,1,"0
"
2022-08-22 09:12:52.981106,0,"1
"
2022-08-22 09:14:29.000449,1,"0
"
2022-08-22 09:15:54.298196,1,"0
"
2022-08-22 09:16:58.173947,1,"0
"
2022-08-22 09:18:02.060910,1,"0
"
2022-08-22 09:19:27.085532,1,"0
"
2022-08-22 09:20:31.015075,1,"0
"
2022-08-22 09:22:03.816112,0,"1
"
2022-08-22 09:23:07.732861,1,"0
"
2022-08-22 09:27:00.872879,1,"0
"
2022-08-22 09:28:04.761371,1,"0
"
2022-08-22 09:31:23.360836,0,"1
"
2022-08-22 09:33:28.379359,0,"1
"
2022-08-22 09:35:54.049414,0,"1
"
2022-08-22 09:37:26.850264,1,"0
"
2022-08-22 09:38:59.750838,1,"0
"
2022-08-22 09:40:53.763140,0,"1
"
2022-08-22 09:41:57.705794,1,"0
"
